Backlog Name,Comparison Mode,Persona Precision,Entity Precision,Action Precision,Benefit Precision,Persona Recall,Entity Recall,Action Recall,Benefit Recall,Persona F-Measure,Entity F-Measure,Action F-Measure,Benefit F-Measure
g26,1,1.0,0.7827586206896552,0.8212290502793296,0.9479166666666666,1.0,0.7591973244147158,0.7577319587628866,0.9479166666666666,1.0,0.7707979626485568,0.7882037533512064,0.9479166666666666
g11,1,1.0,0.8064516129032258,0.8163265306122449,0.9705882352941176,1.0,0.8215962441314554,0.7453416149068323,0.9705882352941176,1.0,0.813953488372093,0.7792207792207791,0.9705882352941176
g02,1,1.0,0.861878453038674,0.8198198198198198,0.9333333333333333,1.0,0.8253968253968254,0.7165354330708661,0.9333333333333333,1.0,0.8432432432432432,0.7647058823529411,0.9333333333333333
g04,1,1.0,0.7904191616766467,0.8303571428571429,0.9791666666666666,1.0,0.8048780487804879,0.8017241379310345,0.9791666666666666,1.0,0.797583081570997,0.8157894736842104,0.9791666666666666
g17,1,1.0,0.7941176470588235,0.8333333333333334,1.0,1.0,0.7570093457943925,0.8256880733944955,1.0,1.0,0.7751196172248803,0.8294930875576038,1.0
g08,1,1.0,0.863013698630137,0.675,1.0,1.0,0.8181818181818182,0.6136363636363636,1.0,1.0,0.8400000000000001,0.6428571428571429,1.0
g21,1,1.0,0.7744360902255639,0.8092105263157895,0.9264705882352942,1.0,0.6866666666666666,0.6648648648648648,0.9264705882352942,1.0,0.7279151943462898,0.7299703264094956,0.9264705882352942
g27,1,0.9907407407407407,0.7519685039370079,0.8154506437768241,0.9166666666666666,0.981651376146789,0.6833631484794276,0.657439446366782,0.9166666666666666,0.9861751152073732,0.7160262417994376,0.7279693486590039,0.9166666666666666
g16,1,1.0,1.0,0.3333333333333333,1.0,1.0,0.8333333333333334,0.25,1.0,1.0,0.9090909090909091,0.28571428571428575,1.0
g05,1,1.0,0.8461538461538461,0.8376068376068376,1.0,1.0,0.8130434782608695,0.7967479674796748,1.0,1.0,0.8292682926829268,0.8166666666666667,1.0
g03,1,0.8363636363636363,0.8571428571428571,0.9191176470588235,0.9818181818181818,0.8363636363636363,0.8497854077253219,0.8620689655172413,0.9818181818181818,0.8363636363636363,0.853448275862069,0.889679715302491,0.9818181818181818
g10,1,1.0,0.7554179566563467,0.8146067415730337,0.989010989010989,1.0,0.7093023255813954,0.6904761904761905,0.989010989010989,1.0,0.7316341829085458,0.747422680412371,0.989010989010989
g28,1,1.0,0.875,0.9010989010989011,1.0,1.0,0.8603351955307262,0.82,1.0,1.0,0.8676056338028169,0.8586387434554974,1.0
g24,1,1.0,0.8418604651162791,0.8076923076923077,1.0,1.0,0.8190045248868778,0.6666666666666666,1.0,1.0,0.8302752293577982,0.7304347826086955,1.0
g22,1,0.9871794871794872,0.7671232876712328,0.8876404494382022,1.0,0.9871794871794872,0.7202572347266881,0.7247706422018348,1.0,0.9871794871794872,0.7429519071310117,0.7979797979797979,1.0
g19,1,1.0,0.8402203856749312,0.8942731277533039,0.984251968503937,1.0,0.8567415730337079,0.8252032520325203,0.984251968503937,1.0,0.8484005563282336,0.8583509513742071,0.984251968503937
g13,1,1.0,0.7584269662921348,0.7545454545454545,0.9803921568627451,1.0,0.6428571428571429,0.5684931506849316,0.9803921568627451,1.0,0.6958762886597939,0.6484375,0.9803921568627451
g23,1,1.0,0.8632478632478633,0.9130434782608695,1.0,1.0,0.8632478632478633,0.875,1.0,1.0,0.8632478632478633,0.8936170212765957,1.0
g25,1,1.0,0.8529411764705882,0.9772727272727273,1.0,1.0,0.8498168498168498,0.8514851485148515,1.0,1.0,0.8513761467889909,0.91005291005291,1.0
g18,1,1.0,0.8285714285714286,0.7978723404255319,0.9895833333333334,1.0,0.8181818181818182,0.7575757575757576,0.9895833333333334,1.0,0.8233438485804417,0.7772020725388601,0.9895833333333334
g14,1,1.0,0.743801652892562,0.8079470198675497,1.0,1.0,0.7860262008733624,0.7093023255813954,1.0,1.0,0.7643312101910827,0.7554179566563468,1.0
g12,1,1.0,0.7290322580645161,0.7865168539325843,0.9795918367346939,1.0,0.7243589743589743,0.7216494845360825,0.9795918367346939,1.0,0.7266881028938906,0.7526881720430109,0.9795918367346939
