Backlog Name,Comparison Mode,Persona Precision,Entity Precision,Action Precision,Benefit Precision,Persona Recall,Entity Recall,Action Recall,Benefit Recall,Persona F-Measure,Entity F-Measure,Action F-Measure,Benefit F-Measure
g26,1,0.9509803921568627,0.5573770491803278,0.6741573033707865,0.8163265306122449,0.9897959183673469,0.44299674267100975,0.6,0.8163265306122449,0.9700000000000001,0.4936479128856624,0.6349206349206349,0.8163265306122449
g11,1,0.9714285714285714,0.5895953757225434,0.7079646017699115,0.9411764705882353,1.0,0.4788732394366197,0.4968944099378882,0.9411764705882353,0.9855072463768115,0.5284974093264249,0.583941605839416,0.9411764705882353
g02,1,0.9836065573770492,0.6558441558441559,0.8588235294117647,0.43333333333333335,1.0,0.5343915343915344,0.5748031496062992,0.43333333333333335,0.9917355371900827,0.5889212827988338,0.6886792452830188,0.43333333333333335
g04,1,0.9166666666666666,0.5555555555555556,0.6923076923076923,0.9361702127659575,0.9361702127659575,0.43209876543209874,0.5526315789473685,0.9361702127659575,0.9263157894736843,0.48611111111111116,0.6146341463414634,0.9361702127659575
g17,1,1.0,0.4528301886792453,0.8987341772151899,0.9830508474576272,1.0,0.3,0.5966386554621849,0.9830508474576272,1.0,0.3609022556390978,0.7171717171717172,0.9830508474576272
g08,1,0.9210526315789473,0.6893203883495146,0.49295774647887325,0.9714285714285714,1.0,0.44654088050314467,0.3804347826086957,0.9714285714285714,0.958904109589041,0.5419847328244275,0.4294478527607362,0.9714285714285714
g21,1,0.7534246575342466,0.5,0.625,0.7794117647058824,0.8088235294117647,0.35,0.43243243243243246,0.7794117647058824,0.7801418439716311,0.4117647058823529,0.5111821086261981,0.7794117647058824
g27,1,0.9217391304347826,0.5567567567567567,0.694300518134715,0.8018018018018018,0.9464285714285714,0.356401384083045,0.4542372881355932,0.8018018018018018,0.9339207048458149,0.4345991561181434,0.5491803278688525,0.8018018018018018
g16,1,1.0,0.75,1.0,1.0,1.0,0.6,0.42857142857142855,1.0,1.0,0.6666666666666665,0.6,1.0
g05,1,1.0,0.46206896551724136,0.5894736842105263,0.75,1.0,0.29130434782608694,0.45528455284552843,0.75,1.0,0.35733333333333334,0.5137614678899083,0.75
g03,1,0.9473684210526315,0.6666666666666666,0.5416666666666666,0.9454545454545454,0.9818181818181818,0.43776824034334766,0.3586206896551724,0.9454545454545454,0.9642857142857142,0.5284974093264249,0.4315352697095436,0.9454545454545454
g10,1,0.9479166666666666,0.5529411764705883,0.7218543046357616,0.8131868131868132,1.0,0.40988372093023256,0.5190476190476191,0.8131868131868132,0.9732620320855615,0.47078464106844736,0.6038781163434903,0.8131868131868132
g28,1,1.0,0.7142857142857143,0.8767123287671232,0.896551724137931,1.0,0.5307262569832403,0.64,0.896551724137931,1.0,0.608974358974359,0.7398843930635838,0.896551724137931
g24,1,0.8679245283018868,0.6344827586206897,0.6,0.8653846153846154,0.8846153846153846,0.416289592760181,0.5,0.8653846153846154,0.8761904761904762,0.5027322404371585,0.5454545454545454,0.8653846153846154
g22,1,0.9506172839506173,0.3744493392070485,0.6575342465753424,0.9871794871794872,0.9871794871794872,0.2733118971061093,0.44036697247706424,0.9871794871794872,0.9685534591194969,0.3159851301115242,0.5274725274725275,0.9871794871794872
g19,1,1.0,0.6254416961130742,0.8627450980392157,0.7674418604651163,1.0,0.4903047091412742,0.5301204819277109,0.7674418604651163,1.0,0.5496894409937888,0.6567164179104479,0.7674418604651162
g13,1,0.9622641509433962,0.5161290322580645,0.6630434782608695,0.7058823529411765,1.0,0.38095238095238093,0.4178082191780822,0.7058823529411765,0.9807692307692307,0.4383561643835616,0.5126050420168067,0.7058823529411765
g23,1,0.9795918367346939,0.7904761904761904,0.9836065573770492,0.9791666666666666,1.0,0.7094017094017094,0.8333333333333334,0.9791666666666666,0.9896907216494846,0.7477477477477478,0.9022556390977444,0.9791666666666666
g25,1,0.9879518072289156,0.5822222222222222,1.0,0.926829268292683,1.0,0.42810457516339867,0.7410714285714286,0.926829268292683,0.993939393939394,0.49340866290018826,0.8512820512820513,0.926829268292683
g18,1,0.98989898989899,0.6721991701244814,0.8671875,0.9081632653061225,1.0,0.49846153846153846,0.5522388059701493,0.9081632653061225,0.9949238578680203,0.5724381625441696,0.6747720364741642,0.9081632653061225
g14,1,0.9558823529411765,0.5235602094240838,0.7380952380952381,0.7846153846153846,1.0,0.4366812227074236,0.5406976744186046,0.7846153846153846,0.9774436090225563,0.47619047619047616,0.6241610738255033,0.7846153846153847
g12,1,0.9074074074074074,0.49572649572649574,0.7283950617283951,0.8163265306122449,1.0,0.3717948717948718,0.6082474226804123,0.8163265306122449,0.9514563106796117,0.42490842490842495,0.6629213483146067,0.8163265306122449
